name,timeout,real,cpu,ram,status
scythe/top_rated_posts/008,False,1.12303,8.74574,735464,0
scythe/top_rated_posts/020,False,0.0909871,0.167081,0,1
scythe/top_rated_posts/021,False,4.34161,18.791,1194908,0
scythe/top_rated_posts/026,False,0.126487,0.182219,0,1
scythe/top_rated_posts/036,False,0.543569,2.77242,124208,0
scythe/top_rated_posts/024,False,0.110242,0.192174,0,1
scythe/top_rated_posts/052,False,0.112797,0.185003,0,1
scythe/top_rated_posts/011,False,0.662143,3.57519,316568,0
scythe/top_rated_posts/035,False,0.155183,0.351165,51176,1
scythe/top_rated_posts/038,False,1.03979,5.03094,579040,0
scythe/top_rated_posts/044,False,6.95168,15.3014,1888636,0
scythe/top_rated_posts/028,False,0.565368,2.68638,177924,0
scythe/top_rated_posts/022,False,0.104314,0.176067,0,1
scythe/top_rated_posts/053,False,0.092544,0.173584,0,1
scythe/top_rated_posts/025,False,0.0996081,0.173734,0,1
scythe/top_rated_posts/047,False,11.4986,31.9079,2246616,0
scythe/top_rated_posts/050,False,0.106381,0.180112,0,1
scythe/top_rated_posts/009,False,0.547077,2.78971,183692,0
scythe/top_rated_posts/012,False,376.997,448.007,3402912,0
scythe/top_rated_posts/029,False,0.425226,1.66416,83752,0
scythe/top_rated_posts/030,False,1.02085,5.37612,494040,0
scythe/top_rated_posts/056,False,0.0961321,0.171829,0,1
scythe/sqlsynthesizer/forum-questions-1,False,4.34622,18.3174,1106800,0
textbook/2,False,4.21663,18.2931,1277084,0
textbook/16,False,469.658,691.559,4743348,0
textbook/1,False,1.99357,8.11234,720340,0
textbook/10,False,0.634347,3.0744,264932,0
scythe/sqlsynthesizer/forum-questions-2,False,0.515742,1.69197,83984,0
textbook/5,False,0.736898,3.74874,305516,0
textbook/17,False,39.8118,69.0163,2592464,0
textbook/21,False,1.88233,7.71004,712760,0
textbook/15,False,51.0853,83.1809,2177592,0
textbook/12,False,1.49531,6.94596,731616,0
textbook/20,True,600.053,1231.73,4340364,143
textbook/23,True,600.058,864.727,4070304,143
scythe/sqlsynthesizer/forum-questions-3,False,30.1561,57.3523,2884524,0
textbook/14,False,0.760748,3.78094,332008,0
scythe/sqlsynthesizer/forum-questions-4,False,229.125,297.14,5519828,0
textbook/22,True,600.055,860.346,4964180,143
textbook/4,True,600.051,633.524,2008544,143
textbook/3,True,600.045,689.688,3652336,143
scythe/sqlsynthesizer/forum-questions-5,False,0.659185,3.64739,232624,0
textbook/7,False,0.451425,2.27974,132776,0
textbook/13,False,0.482106,2.63797,141004,0
textbook/19,False,506.914,693.826,4327752,0
textbook/11,False,2.11737,7.99168,722032,0
textbook/8,False,0.639545,3.78872,239848,0
textbook/6,False,56.6821,100.408,3534284,0
textbook/18,False,37.043,63.934,1996048,0
textbook/9,False,393.903,524.249,4271140,0
textbook/24,True,600.042,753.244,2321640,143
textbook/25,False,10.6946,25.0485,1626768,0
textbook/26,True,600.049,761.177,4661488,143
textbook/27,True,600.048,722.256,5009644,143
textbook/28,True,600.052,751.713,3808700,143
textbook/29,True,600.057,801.592,4504728,143
scythe/newposts/005,False,2.28422,10.6464,772584,0
scythe/newposts/003,False,1.81116,8.82998,754632,0
scythe/newposts/004,False,1.78184,8.09987,758844,0
scythe/newposts/001,False,21.363,40.1289,1831556,0
scythe/newposts/002,False,13.7865,31.5026,1779936,0
scythe/newposts/007,False,1.03218,6.00741,543056,0
scythe/newposts/006,False,0.623237,2.98811,246600,0
scythe/demo_example/author_career_1,False,1.72669,9.55462,740452,0
scythe/demo_example/author_career_2,False,1.086,5.47136,624624,0
scythe/demo_example/author_career_3,False,3.52798,16.5144,1226384,0
